"YEAR","CARRIER","CARRIER_NAME","MANUFACTURE_YEAR","UNIQUE_CARRIER_NAME","AIRCRAFT_STATUS","OPERATING_STATUS","NUMBER_OF_SEATS","MANUFACTURER","AIRCRAFT_TYPE","MODEL","CAPACITY_IN_POUNDS","ACQUISITION_DATE","AIRLINE_ID","UNIQUE_CARRIER",
2020,"0WQ","Avjet Corporation",2002,"Avjet Corporation","b","Y",16,"Boeing","6121","BBJ7377EG",171000,2008-07-18,21352,"0WQ",
2020,"0WQ","Avjet Corporation",2006,"Avjet Corporation","b","Y",13,"Bombardier","6581","GlobalExpress",96000,2012-01-02,21352,"0WQ",
2020,"0WQ","Avjet Corporation",2007,"Avjet Corporation","b","Y",13,"Bombardier","6581","GlobalExpress",99500,2017-11-06,21352,"0WQ",
2020,"0WQ","Avjet Corporation",2014,"Avjet Corporation","b","Y",10,"Dassault-Falcon-2000EXEASy","7741","DASSAULT-FALCON-2000",90700,2020-10-02,21352,"0WQ",
2020,"0WQ","Avjet Corporation",2000,"Avjet Corporation","b","Y",14,"Gulfstream","6411","GA-IV-IV",74600,2019-11-14,21352,"0WQ",
2020,"0WQ","Avjet Corporation",1998,"Avjet Corporation","b","Y",14,"Gulfstream","6411","GIVSP",74600,1999-03-07,21352,"0WQ",
2020,"0WQ","Avjet Corporation",2007,"Avjet Corporation","O","Y",7,"Gulfstream","6511","G150",26100,2008-02-08,21352,"0WQ",
2020,"0WQ","Avjet Corporation",2006,"Avjet Corporation","b","Y",14,"Gulfstream","6671","G550",91000,2009-06-19,21352,"0WQ",
2020,"0WQ","Avjet Corporation",1997,"Avjet Corporation","b","Y",13,"Gulfstream","6671","GV",90500,2014-07-29,21352,"0WQ",
2020,"0WQ","Avjet Corporation",2006,"Avjet Corporation","b","Y",10,"Gulfstream","6671","G550",91000,2015-04-28,21352,"0WQ",
2020,"0WQ","Avjet Corporation",2001,"Avjet Corporation","b","Y",13,"Gulfstream","6671","GA-V-V",90500,2019-01-29,21352,"0WQ",
2020,"0WQ","Avjet Corporation",2016,"Avjet Corporation","b","Y",10,"Gulfstream","6711","G450",74600,2016-07-01,21352,"0WQ",
2020,"0WQ","Avjet Corporation",2010,"Avjet Corporation","b","Y",10,"Gulfstream","6711","G450",74600,2019-11-22,21352,"0WQ",
2020,"0WQ","Avjet Corporation",2019,"Avjet Corporation","b","Y",13,"Gulfstream","7501","G650",99600,2014-02-10,21352,"0WQ",
2020,"1EQ","KaiserAir, Inc.",2001,"KaiserAir, Inc.","a","Y",64,"Boeing","6121","737-700",21274,2009-05-21,21518,"1EQ",
2020,"1EQ","KaiserAir, Inc.",1991,"KaiserAir, Inc.","O","Y",56,"Boeing","6161","737-500",23217,2014-05-31,21518,"1EQ",
2020,"1EQ","KaiserAir, Inc.",2001,"KaiserAir, Inc.","a","Y",68,"Boeing","6141","737-800",30200,2016-06-16,21518,"1EQ",
2020,"27Q","Jet Aviation Flight Services, Inc.",2016,"Jet Aviation Flight Services, Inc.","O","Y",9,"AgustaWestland","3931","AW139PSGR",816,2017-10-23,21652,"27Q",
2020,"27Q","Jet Aviation Flight Services, Inc.",2008,"Jet Aviation Flight Services, Inc.","O","Y",9,"Bombardier","6091","BD-100-1A10PSGR",816,2020-02-01,21652,"27Q",
2020,"27Q","Jet Aviation Flight Services, Inc.",2013,"Jet Aviation Flight Services, Inc.","O","Y",14,"Bombardier","6581","BD-700-1A10PSGR",1270,2015-10-01,21652,"27Q",
2020,"27Q","Jet Aviation Flight Services, Inc.",2015,"Jet Aviation Flight Services, Inc.","O","Y",13,"Bombardier","6581","BD-700-1A10PSGR",1179,2020-01-16,21652,"27Q",
2020,"27Q","Jet Aviation Flight Services, Inc.",2018,"Jet Aviation Flight Services, Inc.","O","Y",13,"Bombardier","6581","BD-700-1A10PSGR",1179,2018-11-27,21652,"27Q",
2020,"27Q","Jet Aviation Flight Services, Inc.",2001,"Jet Aviation Flight Services, Inc.","O","Y",13,"Bombardier","6581","BD-700-1A10PSGR",1179,2020-02-01,21652,"27Q",
2020,"27Q","Jet Aviation Flight Services, Inc.",2014,"Jet Aviation Flight Services, Inc.","O","Y",13,"Bombardier","6881","BD-700-1A11PSGR",1179,2015-11-02,21652,"27Q",
2020,"27Q","Jet Aviation Flight Services, Inc.",2013,"Jet Aviation Flight Services, Inc.","O","Y",13,"Bombardier","6881","BD-700-1A11PSGR",1179,2014-03-27,21652,"27Q",
2020,"27Q","Jet Aviation Flight Services, Inc.",2010,"Jet Aviation Flight Services, Inc.","O","Y",13,"Bombardier","6881","BD-700-1A11PSGR",1179,2018-03-13,21652,"27Q",
2020,"27Q","Jet Aviation Flight Services, Inc.",2005,"Jet Aviation Flight Services, Inc.","O","Y",13,"Bombardier","6881","BD-700-1A11PSGR",1179,2020-01-16,21652,"27Q",
2020,"27Q","Jet Aviation Flight Services, Inc.",2014,"Jet Aviation Flight Services, Inc.","O","Y",13,"Bombardier","6881","BD-700-1A11PSGR",1179,2015-04-01,21652,"27Q",
2020,"27Q","Jet Aviation Flight Services, Inc.",2006,"Jet Aviation Flight Services, Inc.","O","Y",9,"Cessna","6653","CE-680",816,2020-07-01,21652,"27Q",
2020,"27Q","Jet Aviation Flight Services, Inc.",2006,"Jet Aviation Flight Services, Inc.","O","Y",9,"Cessna","6851","CE-560-560XLSPSGR",816,2011-03-24,21652,"27Q",
2020,"27Q","Jet Aviation Flight Services, Inc.",2007,"Jet Aviation Flight Services, Inc.","O","Y",10,"Dassault","6821","DASSAULT-FALCON-2000",907,2020-08-01,21652,"27Q",
2020,"27Q","Jet Aviation Flight Services, Inc.",2004,"Jet Aviation Flight Services, Inc.","O","Y",10,"Dassault","6821","DASSAULT-FALCON-2000",907,2020-03-01,21652,"27Q",
2020,"27Q","Jet Aviation Flight Services, Inc.",2007,"Jet Aviation Flight Services, Inc.","O","Y",10,"Dassault","6821","DASSAULT-FALCON-2000",907,2019-06-26,21652,"27Q",
2020,"27Q","Jet Aviation Flight Services, Inc.",2002,"Jet Aviation Flight Services, Inc.","O","Y",12,"Dassault","7701","DASSAULT-FALCON-900E",1089,2019-06-11,21652,"27Q",
2020,"27Q","Jet Aviation Flight Services, Inc.",2008,"Jet Aviation Flight Services, Inc.","O","Y",16,"Dassault","7701","DASSAULT-FALCON-900E",1451,2012-10-01,21652,"27Q",
2020,"27Q","Jet Aviation Flight Services, Inc.",2009,"Jet Aviation Flight Services, Inc.","O","Y",15,"Dassault","7751","DASSAULT-FALCON-7XPS",1361,2020-09-01,21652,"27Q",
2020,"27Q","Jet Aviation Flight Services, Inc.",2009,"Jet Aviation Flight Services, Inc.","O","Y",16,"Dassault","7751","DASSAULT-FALCON-7XPS",1451,2010-06-22,21652,"27Q",
2020,"27Q","Jet Aviation Flight Services, Inc.",2004,"Jet Aviation Flight Services, Inc.","O","Y",14,"Gulfstream","6671","GA-V-SPPSGR",1270,2017-07-25,21652,"27Q",
2020,"27Q","Jet Aviation Flight Services, Inc.",2007,"Jet Aviation Flight Services, Inc.","O","Y",16,"Gulfstream","6671","GA-V-SPPSGR",1451,2016-12-06,21652,"27Q",
2020,"27Q","Jet Aviation Flight Services, Inc.",2014,"Jet Aviation Flight Services, Inc.","O","Y",14,"Gulfstream","6671","GA-V-SPPSGR",1270,2015-06-01,21652,"27Q",
2020,"27Q","Jet Aviation Flight Services, Inc.",1983,"Jet Aviation Flight Services, Inc.","O","Y",16,"Gulfstream","6791","GA-1159-APSGR",1451,2011-07-28,21652,"27Q",
2020,"27Q","Jet Aviation Flight Services, Inc.",2000,"Jet Aviation Flight Services, Inc.","O","Y",14,"Gulfstream","6671","GA-V-SPPSGR",1270,2020-05-01,21652,"27Q",
2020,"27Q","Jet Aviation Flight Services, Inc.",2016,"Jet Aviation Flight Services, Inc.","O","Y",14,"Gulfstream","7501","G-VI-G650ERPSGR",1270,2017-05-18,21652,"27Q",
2020,"27Q","Jet Aviation Flight Services, Inc.",2013,"Jet Aviation Flight Services, Inc.","O","Y",14,"Gulfstream","7501","G-VI-G650ERPSGR",1270,2019-11-01,21652,"27Q",
2020,"27Q","Jet Aviation Flight Services, Inc.",2016,"Jet Aviation Flight Services, Inc.","O","Y",14,"Gulfstream","7501","GA-VI-VIPSGR",1270,2016-10-31,21652,"27Q",
2020,"27Q","Jet Aviation Flight Services, Inc.",2013,"Jet Aviation Flight Services, Inc.","O","Y",13,"Gulfstream","7501","GA-VI-VIPSGR",1179,2014-02-24,21652,"27Q",
2020,"27Q","Jet Aviation Flight Services, Inc.",2013,"Jet Aviation Flight Services, Inc.","O","Y",14,"Gulfstream","7501","GA-VI-VIPSGR",1270,2017-11-16,21652,"27Q",
2020,"27Q","Jet Aviation Flight Services, Inc.",2018,"Jet Aviation Flight Services, Inc.","O","Y",16,"Gulfstream","7501","GA-VI-VIPSGR",1451,2016-06-21,21652,"27Q",
2020,"27Q","Jet Aviation Flight Services, Inc.",2005,"Jet Aviation Flight Services, Inc.","O","Y",9,"Hawker","6841","HAWKER-800XP-800XPPS",816,2013-05-17,21652,"27Q",
2020,"27Q","Jet Aviation Flight Services, Inc.",2015,"Jet Aviation Flight Services, Inc.","O","Y",8,"Learjet","6861","LR-45-75PSGR",726,2017-08-03,21652,"27Q",
2020,"27Q","Jet Aviation Flight Services, Inc.",2013,"Jet Aviation Flight Services, Inc.","O","Y",8,"Sikorsky","3901","SK-76-D",726,2019-09-16,21652,"27Q",
2020,"2HQ","Elite Airways LLC",2002,"Elite Airways LLC","b","N",50,"Bombardier","6291","CL600-2B19PSGR",20652,2014-04-15,21712,"2HQ",
