,CARRIER,CARRIER_NAME,MANUFACTURE_YEAR,OPERATING_STATUS,MANUFACTURER,MODEL,CAPACITY_IN_POUNDS
750,AA,American Airlines Inc.,1999,Y,AIRBUS,A320-232,38500
751,AA,American Airlines Inc.,1999,Y,AIRBUS,A320-232,38500
752,AA,American Airlines Inc.,1999,Y,AIRBUS,A320-232,38500
753,AA,American Airlines Inc.,1999,Y,AIRBUS,A320-232,38500
754,AA,American Airlines Inc.,2014,Y,BOEING,B737-823,40800
755,AA,American Airlines Inc.,2014,Y,BOEING,B737-823,40800
756,AA,American Airlines Inc.,2014,Y,BOEING,B737-823,40800
757,AA,American Airlines Inc.,2014,Y,BOEING,B737-823,40800
758,AA,American Airlines Inc.,2014,Y,BOEING,B737-823,40800
759,AA,American Airlines Inc.,2014,Y,BOEING,B737-823,40800
760,AA,American Airlines Inc.,2014,Y,BOEING,B737-823,40800
761,AA,American Airlines Inc.,2014,Y,BOEING,B737-823,40800
762,AA,American Airlines Inc.,2014,Y,BOEING,B737-823,40800
763,AA,American Airlines Inc.,2014,Y,BOEING,B737-823,40800
764,AA,American Airlines Inc.,2014,Y,BOEING,B737-823,40800
765,AA,American Airlines Inc.,2014,Y,BOEING,B737-823,40800
766,AA,American Airlines Inc.,2014,Y,BOEING,B737-823,40800
767,AA,American Airlines Inc.,2014,Y,BOEING,B737-823,40800
768,AA,American Airlines Inc.,2014,Y,BOEING,B737-823,40800
769,AA,American Airlines Inc.,2014,Y,BOEING,B737-823,40800
770,AA,American Airlines Inc.,2014,Y,BOEING,B737-823,40800
771,AA,American Airlines Inc.,2014,Y,BOEING,B737-823,40800
772,AA,American Airlines Inc.,2014,Y,BOEING,B737-823,40800
773,AA,American Airlines Inc.,2000,Y,BOEING,B777-223ER,108500
774,AA,American Airlines Inc.,2002,Y,BOEING,B777-223ER,108500
775,AA,American Airlines Inc.,2002,Y,BOEING,B777-223ER,108500
787,AA,American Airlines Inc.,2019,Y,AIRBUS,A321-253NX,52200
788,AA,American Airlines Inc.,2019,Y,AIRBUS,A321-253NX,52200
789,AA,American Airlines Inc.,2019,Y,AIRBUS,A321-253NX,52200
790,AA,American Airlines Inc.,2019,Y,AIRBUS,A321-253NX,52200
791,AA,American Airlines Inc.,2019,Y,AIRBUS,A321-253NX,52200
792,AA,American Airlines Inc.,2019,Y,AIRBUS,A321-253NX,52200
793,AA,American Airlines Inc.,2019,Y,AIRBUS,A321-253NX,52200
794,AA,American Airlines Inc.,2019,Y,AIRBUS,A321-253NX,52200
795,AA,American Airlines Inc.,2020,Y,AIRBUS,A321-253NX,52200
796,AA,American Airlines Inc.,2020,Y,AIRBUS,A321-253NX,52200
797,AA,American Airlines Inc.,2020,Y,AIRBUS,A321-253NX,52200
798,AA,American Airlines Inc.,2020,Y,AIRBUS,A321-253NX,52200
799,AA,American Airlines Inc.,2020,Y,AIRBUS,A321-253NX,52200
800,AA,American Airlines Inc.,2020,Y,AIRBUS,A321-253NX,52200
801,AA,American Airlines Inc.,2019,Y,AIRBUS,A321-253NX,52200
