,CARRIER,CARRIER_NAME,MANUFACTURE_YEAR,OPERATING_STATUS,MANUFACTURER,MODEL,CAPACITY_IN_POUNDS,NO. AIRCRAFTS
0,AA,American Airlines Inc.,1997,Y,AIRBUS,A320-232,38500,1
1,AA,American Airlines Inc.,1998,Y,AIRBUS,A319-112,35000,6
2,AA,American Airlines Inc.,1998,Y,AIRBUS,A319-132,36700,3
3,AA,American Airlines Inc.,1998,Y,AIRBUS,A320-214,37200,1
4,AA,American Airlines Inc.,1998,Y,AIRBUS,A320-232,38500,3
5,AA,American Airlines Inc.,1999,Y,AIRBUS,A319-112,35000,15
6,AA,American Airlines Inc.,1999,Y,AIRBUS,A319-132,36700,7
7,AA,American Airlines Inc.,1999,Y,AIRBUS,A320-214,37200,10
8,AA,American Airlines Inc.,1999,Y,AIRBUS,A320-232,38500,7
9,AA,American Airlines Inc.,1999,Y,BOEING,B737-823,40800,24
10,AA,American Airlines Inc.,1999,Y,BOEING,B777-200,108500,11
11,AA,American Airlines Inc.,2000,Y,AIRBUS,A319-112,35000,33
12,AA,American Airlines Inc.,2000,Y,AIRBUS,A319-132,36700,11
13,AA,American Airlines Inc.,2000,Y,AIRBUS,A320-214,37200,7
14,AA,American Airlines Inc.,2000,Y,AIRBUS,A320-232,38500,5
15,AA,American Airlines Inc.,2000,Y,BOEING,B737-823,40800,27
16,AA,American Airlines Inc.,2000,Y,BOEING,B777-200,108500,15
17,AA,American Airlines Inc.,2000,Y,BOEING,B777-223ER,108500,1
18,AA,American Airlines Inc.,2001,Y,AIRBUS,A319-132,36700,10
19,AA,American Airlines Inc.,2001,Y,AIRBUS,A320-232,38500,3
20,AA,American Airlines Inc.,2001,Y,AIRBUS,A321-211,51000,23
21,AA,American Airlines Inc.,2001,Y,BOEING,B737-823,40800,25
22,AA,American Airlines Inc.,2001,Y,BOEING,B777-200,108500,13
23,AA,American Airlines Inc.,2002,Y,AIRBUS,A319-132,36700,1
24,AA,American Airlines Inc.,2002,Y,AIRBUS,A320-232,38500,3
25,AA,American Airlines Inc.,2002,Y,AIRBUS,A321-211,51000,5
26,AA,American Airlines Inc.,2002,Y,BOEING,B777-200,108500,1
27,AA,American Airlines Inc.,2002,Y,BOEING,B777-223ER,108500,2
28,AA,American Airlines Inc.,2003,Y,AIRBUS,A319-112,36700,4
29,AA,American Airlines Inc.,2003,Y,AIRBUS,A320-232,38500,1
30,AA,American Airlines Inc.,2003,Y,BOEING,B777-200,108500,2
31,AA,American Airlines Inc.,2004,Y,AIRBUS,A319-112,36700,2
32,AA,American Airlines Inc.,2004,Y,AIRBUS,A319-132,36700,1
33,AA,American Airlines Inc.,2004,Y,AIRBUS,A320-232,38500,1
34,AA,American Airlines Inc.,2005,Y,AIRBUS,A319-132,36700,4
35,AA,American Airlines Inc.,2005,Y,AIRBUS,A320-232,38500,2
36,AA,American Airlines Inc.,2006,Y,AIRBUS,A319-112,36700,1
37,AA,American Airlines Inc.,2006,Y,AIRBUS,A319-132,36700,2
38,AA,American Airlines Inc.,2006,Y,BOEING,B777-200,108500,2
39,AA,American Airlines Inc.,2008,Y,AIRBUS,A321-211,51000,3
40,AA,American Airlines Inc.,2008,Y,AIRBUS,A321-231,52200,2
41,AA,American Airlines Inc.,2009,Y,AIRBUS,A319-112,36700,1
42,AA,American Airlines Inc.,2009,Y,AIRBUS,A320-214,37200,2
43,AA,American Airlines Inc.,2009,Y,AIRBUS,A321-211,51000,2
44,AA,American Airlines Inc.,2009,Y,AIRBUS,A321-231,52200,16
45,AA,American Airlines Inc.,2009,Y,BOEING,B737-823,40800,31
46,AA,American Airlines Inc.,2010,Y,AIRBUS,A320-214,37200,2
47,AA,American Airlines Inc.,2010,Y,BOEING,B737-823,40800,45
48,AA,American Airlines Inc.,2011,Y,AIRBUS,A321-231,52200,12
49,AA,American Airlines Inc.,2011,Y,BOEING,B737-823,40800,16
50,AA,American Airlines Inc.,2012,Y,AIRBUS,A321-231,52200,12
51,AA,American Airlines Inc.,2012,Y,BOEING,B737-823,40800,27
52,AA,American Airlines Inc.,2012,Y,BOEING,B777-300,108500,2
53,AA,American Airlines Inc.,2013,Y,AIRBUS,A319-115,35600,15
54,AA,American Airlines Inc.,2013,Y,AIRBUS,A321-211,51000,10
55,AA,American Airlines Inc.,2013,Y,AIRBUS,A321-231,47200,5
