IATA Code,Airline Name,Year,Month,Month Number,Quarter,Total Fuel Consumed (thousands of gallons),Total Cost of Fuel (dollars),Cost per Gallon (dollars),CO2 Emissions (Thousands of Gallons)
AS,Alaska Airlines,2010,January,1,1,"24,643","52,404",2.13,77625.45
AS,Alaska Airlines,2010,February,2,1,"21,984","44,874",2.04,69249.6
AS,Alaska Airlines,2010,March,3,1,"25,472","54,353",2.13,80236.8
AS,Alaska Airlines,2010,April,4,2,"24,820","55,864",2.25,78183
AS,Alaska Airlines,2010,May,5,2,"26,440","59,071",2.23,83286
AS,Alaska Airlines,2010,June,6,2,"28,067","60,222",2.15,88411.05
AS,Alaska Airlines,2010,July,7,3,"29,768","64,424",2.16,93769.2
AS,Alaska Airlines,2010,August,8,3,"29,450","64,212",2.18,92767.5
AS,Alaska Airlines,2010,September,9,3,"26,026","56,592",2.17,81981.9
AS,Alaska Airlines,2010,October,10,4,"26,975","62,344",2.31,84971.25
AS,Alaska Airlines,2010,November,11,4,"26,748","64,255",2.4,84256.2
AS,Alaska Airlines,2010,December,12,4,"28,304","70,794",2.5,89157.6
AS,Alaska Airlines,2011,January,1,1,"27,771","84,358",3.04,87478.65
AS,Alaska Airlines,2011,February,2,1,"25,779","82,654",3.21,81203.85
AS,Alaska Airlines,2011,March,3,1,"29,371","104,489",3.56,92518.65
AS,Alaska Airlines,2011,April,4,2,"28,572","108,048",3.78,90001.8
AS,Alaska Airlines,2011,May,5,2,"28,494","105,784",3.71,89756.1
AS,Alaska Airlines,2011,June,6,2,"29,970","106,943",3.57,94405.5
AS,Alaska Airlines,2011,July,7,3,"31,319","108,944",3.48,98654.85
AS,Alaska Airlines,2011,August,8,3,"31,165","106,238",3.41,98169.75
AS,Alaska Airlines,2011,September,9,3,"27,906","95,958",3.44,87903.9
AS,Alaska Airlines,2011,October,10,4,"28,231","95,632",3.39,88927.65
AS,Alaska Airlines,2011,November,11,4,"28,078","98,930",3.52,88445.7
AS,Alaska Airlines,2011,December,12,4,"29,176","99,196",3.4,91904.4
AS,Alaska Airlines,2012,January,1,1,"28,549","98,530",3.45,89929.35
AS,Alaska Airlines,2012,February,2,1,"27,214","97,310",3.58,85724.1
AS,Alaska Airlines,2012,March,3,1,"30,552","115,140",3.77,96238.8
AS,Alaska Airlines,2012,April,4,2,"29,654","110,410",3.72,93410.1
AS,Alaska Airlines,2012,May,5,2,"30,950","109,454",3.54,97492.5
AS,Alaska Airlines,2012,June,6,2,"32,479","103,003",3.17,102308.85
AS,Alaska Airlines,2012,July,7,3,"33,664","106,575",3.17,106041.6
AS,Alaska Airlines,2012,August,8,3,"33,268","114,720",3.45,104794.2
AS,Alaska Airlines,2012,September,9,3,"29,291","107,955",3.69,92266.65
AS,Alaska Airlines,2012,October,10,4,"29,853","109,510",3.67,94036.95
AS,Alaska Airlines,2012,November,11,4,"30,066","104,977",3.49,94707.9
AS,Alaska Airlines,2012,December,12,4,"31,584","108,043",3.42,99489.6
AS,Alaska Airlines,2013,January,1,1,"31,438","109,042",3.47,99029.7
AS,Alaska Airlines,2013,February,2,1,"28,273","104,151",3.68,89059.95
AS,Alaska Airlines,2013,March,3,1,"33,116","115,600",3.49,104315.4
AS,Alaska Airlines,2013,April,4,2,"32,206","107,204",3.33,101448.9
AS,Alaska Airlines,2013,May,5,2,"32,759","103,334",3.15,103190.85
AS,Alaska Airlines,2013,June,6,2,"34,783","108,918",3.13,109566.45
AS,Alaska Airlines,2013,July,7,3,"36,661","117,999",3.22,115482.15
AS,Alaska Airlines,2013,August,8,3,"36,139","119,744",3.31,113837.85
AS,Alaska Airlines,2013,September,9,3,"30,844","105,299",3.41,97158.6
AS,Alaska Airlines,2013,October,10,4,"30,991","103,018",3.32,97621.65
AS,Alaska Airlines,2013,November,11,4,"31,780","103,479",3.26,100107
AS,Alaska Airlines,2013,December,12,4,"32,874","111,433",3.39,103553.1
AS,Alaska Airlines,2014,January,1,1,"32,149","108,244",3.37,101269.35
AS,Alaska Airlines,2014,February,2,1,"29,250","98,142",3.36,92137.5
AS,Alaska Airlines,2014,March,3,1,"34,142","111,226",3.26,107547.3
AS,Alaska Airlines,2014,April,4,2,"32,648","106,516",3.26,102841.2
AS,Alaska Airlines,2014,May,5,2,"33,172","111,868",3.37,104491.8
AS,Alaska Airlines,2014,June,6,2,"35,451","118,576",3.34,111670.65
AS,Alaska Airlines,2014,July,7,3,"37,515","123,594",3.29,118172.25
AS,Alaska Airlines,2014,August,8,3,"37,274","122,210",3.28,117413.1
AS,Alaska Airlines,2014,September,9,3,"32,504","103,876",3.2,102387.6
AS,Alaska Airlines,2014,October,10,4,"32,910","97,422",2.96,103666.5
AS,Alaska Airlines,2014,November,11,4,"33,536","93,215",2.78,105638.4
AS,Alaska Airlines,2014,December,12,4,"35,780","85,652",2.39,112707
AS,Alaska Airlines,2015,January,1,1,"34,229","67,839",1.98,107821.35
AS,Alaska Airlines,2015,February,2,1,"31,135","60,952",1.96,98075.25
AS,Alaska Airlines,2015,March,3,1,"37,472","75,297",2.01,118036.8
AS,Alaska Airlines,2015,April,4,2,"35,804","70,357",1.97,112782.6
AS,Alaska Airlines,2015,May,5,2,"36,345","82,137",2.26,114486.75
AS,Alaska Airlines,2015,June,6,2,"37,317","81,527",2.18,117548.55
