IATA Code,Airline Name,Year,Month,Month Number,Quarter,Total Fuel Consumed (thousands of gallons),Total Cost of Fuel (dollars),Cost per Gallon (dollars),Total Fuel Consumed (thousands of kg) ,CO2 Emissions (thousands of kg)
AS,Alaska Airlines,2010,January,1,1,"24,643","52,404",2.13,74668.29,235205.1135
AS,Alaska Airlines,2010,February,2,1,"21,984","44,874",2.04,66611.52,209826.288
AS,Alaska Airlines,2010,March,3,1,"25,472","54,353",2.13,77180.16,243117.504
AS,Alaska Airlines,2010,April,4,2,"24,820","55,864",2.25,75204.6,236894.49
AS,Alaska Airlines,2010,May,5,2,"26,440","59,071",2.23,80113.2,252356.58
AS,Alaska Airlines,2010,June,6,2,"28,067","60,222",2.15,85043.01,267885.4815
AS,Alaska Airlines,2010,July,7,3,"29,768","64,424",2.16,90197.04,284120.676
AS,Alaska Airlines,2010,August,8,3,"29,450","64,212",2.18,89233.5,281085.525
AS,Alaska Airlines,2010,September,9,3,"26,026","56,592",2.17,78858.78,248405.157
AS,Alaska Airlines,2010,October,10,4,"26,975","62,344",2.31,81734.25,257462.8875
AS,Alaska Airlines,2010,November,11,4,"26,748","64,255",2.4,81046.44,255296.286
AS,Alaska Airlines,2010,December,12,4,"28,304","70,794",2.5,85761.12,270147.528
AS,Alaska Airlines,2011,January,1,1,"27,771","84,358",3.04,84146.13,265060.3095
AS,Alaska Airlines,2011,February,2,1,"25,779","82,654",3.21,78110.37,246047.6655
AS,Alaska Airlines,2011,March,3,1,"29,371","104,489",3.56,88994.13,280331.5095
AS,Alaska Airlines,2011,April,4,2,"28,572","108,048",3.78,86573.16,272705.454
AS,Alaska Airlines,2011,May,5,2,"28,494","105,784",3.71,86336.82,271960.983
AS,Alaska Airlines,2011,June,6,2,"29,970","106,943",3.57,90809.1,286048.665
AS,Alaska Airlines,2011,July,7,3,"31,319","108,944",3.48,94896.57,298924.1955
AS,Alaska Airlines,2011,August,8,3,"31,165","106,238",3.41,94429.95,297454.3425
AS,Alaska Airlines,2011,September,9,3,"27,906","95,958",3.44,84555.18,266348.817
AS,Alaska Airlines,2011,October,10,4,"28,231","95,632",3.39,85539.93,269450.7795
AS,Alaska Airlines,2011,November,11,4,"28,078","98,930",3.52,85076.34,267990.471
AS,Alaska Airlines,2011,December,12,4,"29,176","99,196",3.4,88403.28,278470.332
AS,Alaska Airlines,2012,January,1,1,"28,549","98,530",3.45,86503.47,272485.9305
AS,Alaska Airlines,2012,February,2,1,"27,214","97,310",3.58,82458.42,259744.023
AS,Alaska Airlines,2012,March,3,1,"30,552","115,140",3.77,92572.56,291603.564
AS,Alaska Airlines,2012,April,4,2,"29,654","110,410",3.72,89851.62,283032.603
AS,Alaska Airlines,2012,May,5,2,"30,950","109,454",3.54,93778.5,295402.275
AS,Alaska Airlines,2012,June,6,2,"32,479","103,003",3.17,98411.37,309995.8155
AS,Alaska Airlines,2012,July,7,3,"33,664","106,575",3.17,102001.92,321306.048
AS,Alaska Airlines,2012,August,8,3,"33,268","114,720",3.45,100802.04,317526.426
AS,Alaska Airlines,2012,September,9,3,"29,291","107,955",3.69,88751.73,279567.9495
AS,Alaska Airlines,2012,October,10,4,"29,853","109,510",3.67,90454.59,284931.9585
AS,Alaska Airlines,2012,November,11,4,"30,066","104,977",3.49,91099.98,286964.937
AS,Alaska Airlines,2012,December,12,4,"31,584","108,043",3.42,95699.52,301453.488
