,Airline Name,ICAO ID,IATA ID,Aircraft Type,No Aircrafts
0,American Airlines,AAL,AA,Airbus A321-200,218
1,American Airlines,AAL,AA,Airbus A320-200,48
2,American Airlines,AAL,AA,Airbus A319-100,133
3,American Airlines,AAL,AA,Boeing B757-200,30
4,American Airlines,AAL,AA,Boeing B737-800,304
5,American Airlines,AAL,AA,Airbus A330-300,9
6,American Airlines,AAL,AA,Airbus A330-200,15
7,American Airlines,AAL,AA,Boeing B737 MAX 8,42
8,American Airlines,AAL,AA,Boeing B767-300,1
9,American Airlines,AAL,AA,Airbus A321neo,47
10,American Airlines,AAL,AA,McDonnell Douglas MD-82,4
11,American Airlines,AAL,AA,Boeing B777-300ER,20
12,American Airlines,AAL,AA,Boeing B777-200,47
13,American Airlines,AAL,AA,Boeing B787-8 Dreamliner,34
14,American Airlines,AAL,AA,Boeing B787-9 Dreamliner,22
15,American Airlines,AAL,AA,Embraer EMB-190,18
16,American Airlines,AAL,AA,McDonnell Douglas MD-83,1
17,Southwest Airlines,SWA,WN,Boeing B737-700,501
18,Southwest Airlines,SWA,WN,Boeing B737-300,15
19,Southwest Airlines,SWA,WN,Boeing B737-800,207
20,Southwest Airlines,SWA,WN,Boeing B737-500,1
21,Southwest Airlines,SWA,WN,Boeing B737 MAX 7,5
22,Southwest Airlines,SWA,WN,Boeing B737 MAX 8,69
23,Delta Air Lines,DAL,DL,Airbus A321-200,126
24,Delta Air Lines,DAL,DL,Airbus CSeries CS100,45
25,Delta Air Lines,DAL,DL,Boeing B767-300,53
26,Delta Air Lines,DAL,DL,Boeing B737-700,9
27,Delta Air Lines,DAL,DL,Airbus CSeries CS300,11
28,Delta Air Lines,DAL,DL,Airbus A319-100,57
29,Delta Air Lines,DAL,DL,Airbus A320-200,62
30,Delta Air Lines,DAL,DL,Boeing B737-800,77
31,Delta Air Lines,DAL,DL,Airbus A330-900neo,17
32,Delta Air Lines,DAL,DL,Airbus A321neo,1
33,Delta Air Lines,DAL,DL,Airbus A350-900,17
34,Delta Air Lines,DAL,DL,Boeing B757-200,111
35,Delta Air Lines,DAL,DL,Boeing B757-300,16
36,Delta Air Lines,DAL,DL,Boeing B717-200,88
37,Delta Air Lines,DAL,DL,Boeing B747-400,1
38,Delta Air Lines,DAL,DL,Boeing B777-200LR,10
39,Delta Air Lines,DAL,DL,Boeing B737-900,148
40,Delta Air Lines,DAL,DL,Airbus A330-300,31
41,Delta Air Lines,DAL,DL,Boeing B767-400,20
42,Delta Air Lines,DAL,DL,Airbus A330-200,11
43,Delta Air Lines,DAL,DL,Boeing B777-200,8
44,Delta Air Lines,DAL,DL,McDonnell Douglas MD-88,54
45,Delta Air Lines,DAL,DL,McDonnell Douglas MD-90,38
46,United Airlines,UAL,UA,Boeing B737-800,141
47,United Airlines,UAL,UA,Boeing B787-10 Dreamliner,14
48,United Airlines,UAL,UA,Boeing B747-400,4
49,United Airlines,UAL,UA,Boeing B757-200,57
50,United Airlines,UAL,UA,Boeing B737-700,40
51,United Airlines,UAL,UA,Boeing B787-9 Dreamliner,38
52,United Airlines,UAL,UA,Boeing B737 MAX 8,16
53,United Airlines,UAL,UA,Boeing B737 MAX 9,30
54,United Airlines,UAL,UA,Airbus A320-200,103
55,United Airlines,UAL,UA,Boeing B777-200,74
56,United Airlines,UAL,UA,Boeing B787-8 Dreamliner,12
57,United Airlines,UAL,UA,Boeing B777-300ER,22
58,United Airlines,UAL,UA,Airbus A319-100,97
59,United Airlines,UAL,UA,Boeing B737-900,148
60,United Airlines,UAL,UA,Boeing B737 MAX 10,1
61,United Airlines,UAL,UA,Boeing B757-300,21
62,United Airlines,UAL,UA,Boeing B767-400,16
63,United Airlines,UAL,UA,Boeing B767-300,38
64,Spirit Airlines,NKS,NK,Airbus A319-100,31
65,Spirit Airlines,NKS,NK,Airbus A320-200,64
66,Spirit Airlines,NKS,NK,Airbus A321-200,30
67,Spirit Airlines,NKS,NK,Airbus A320neo,45
68,Alaska Airlines,ASA,AS,Embraer EMB-175,62
